Match-Name,Name,score
"Abernathy, TX","Abernathy, TX",100
"Arcadia, LA","Arcadia, LA",100
"El Lago, TX","El Lago, TX",100
"Seward, AK","Seward, AK",100
"Dodge Center, MN","Dodge Center, MN",100
"Richmond, UT","Richmond, UT",100
"Victor, NY","Victor, NY",100
"Bayfield, CO","Bayfield, CO",100
"Weed, CA","Weed, CA",100
"West Wyoming, PA","West Wyoming, PA",100
"Chewelah, WA","Chewelah, WA",100
"Foley, MN","Foley, MN",100
"Clifton, TN","Clifton, TN",100
"Lisbon, OH","Lisbon, OH",100
"Coxsackie, NY","Coxsackie, NY",100
"Round Lake Heights, IL","Round Lake Heights, IL",100
"Sandstone, MN","Sandstone, MN",100
"Ravenel, SC","Ravenel, SC",100
"Bath, PA","Bath, PA",100
"Homedale, ID","Homedale, ID",100
"Monticello, GA","Monticello, GA",100
"Timberville, VA","Timberville, VA",100
"Rogers, MI","Rogers, MI",100
"Tobaccoville, NC","Tobaccoville, NC",100
"Van, TX","Van, TX",100
"Solon, IA","Solon, IA",100
"Dupont, PA","Dupont, PA",100
"Covington, OH","Covington, OH",100
"Clinton, NJ","Clinton, NJ",100
"Riverton, NJ","Riverton, NJ",100
"New Richmond, OH","New Richmond, OH",100
"Glen Rose, TX","Glen Rose, TX",100
"Bonifay, FL","Bonifay, FL",100
"Lakehurst, NJ","Lakehurst, NJ",100
"Loris, SC","Loris, SC",100
"Girard, KS","Girard, KS",100
"Wentworth, NC","Wentworth, NC",100
"Potterville, MI","Potterville, MI",100
"Oak Harbor, OH","Oak Harbor, OH",100
"Kemmerer, WY","Kemmerer, WY",100
"Albany, MN","Albany, MN",100
"Tusculum, TN","Tusculum, TN",100
"Harveys Lake, PA","Harveys Lake, PA",100
"Guntown, MS","Guntown, MS",100
"Dallas, PA","Dallas, PA",100
"Refugio, TX","Refugio, TX",100
"Trinity, TX","Trinity, TX",100
"Palmer Lake, CO","Palmer Lake, CO",100
"Snowmass, CO","Snowmass, CO",100
"Honeoye Falls, NY","Honeoye Falls, NY",100
"Whitehall, MI","Whitehall, MI",100
"Everson, WA","Everson, WA",100
"Windsor, MO","Windsor, MO",100
"Hypoluxo, FL","Hypoluxo, FL",100
"Voorheesville, NY","Voorheesville, NY",100
"Ford, PA","Ford, PA",100
"Norton, KS","Norton, KS",100
"Hortonville, WI","Hortonville, WI",100
"Almont, MI","Almont, MI",100
"Bethel, OH","Bethel, OH",100
"Rising Sun, MD","Rising Sun, MD",100
"North Kingsville, OH","North Kingsville, OH",100
"Lindsay, OK","Lindsay, OK",100
"Oconto Falls, WI","Oconto Falls, WI",100
"Chatfield, MN","Chatfield, MN",100
"Amery, WI","Amery, WI",100
"Mount Morris, IL","Mount Morris, IL",100
"Mount Morris, NY","Mount Morris, NY",100
"Lake Helen, FL","Lake Helen, FL",100
"Walton, NY","Walton, NY",100
"Platteville, CO","Platteville, CO",100
"Norway, MI","Norway, MI",100
"Caledonia, MN","Caledonia, MN",100
"Knob Noster, MO","Knob Noster, MO",100
"Burnettown, SC","Burnettown, SC",100
"Wind Gap, PA","Wind Gap, PA",100
"Springdale, SC","Springdale, SC",100
"Cokato, MN","Cokato, MN",100
"Moonachie, NJ","Moonachie, NJ",100
"Statham, GA","Statham, GA",100
"Lakeside Park, KY","Lakeside Park, KY",100
"Windsor, VA","Windsor, VA",100
"Palmhurst, TX","Palmhurst, TX",100
"Manchester, PA","Manchester, PA",100
"Sisters, OR","Sisters, OR",100
"Gervais, OR","Gervais, OR",100
"Lagrange, IN","Lagrange, IN",100
"Dayton, OR","Dayton, OR",100
"Fairfax, IA","Fairfax, IA",100
"Kingston Springs, TN","Kingston Springs, TN",100
"Mount Vernon, TX","Mount Vernon, TX",100
"Fort Branch, IN","Fort Branch, IN",100
"Quarryville, PA","Quarryville, PA",100
"Bethel Heights, AR","Bethel Heights, AR",100
"Seven Fields, PA","Seven Fields, PA",100
"Osseo, MN","Osseo, MN",100
"Rio Hondo, TX","Rio Hondo, TX",100
"Little Flock, AR","Little Flock, AR",100
"Bar Nunn, WY","Bar Nunn, WY",100
"Wernersville, PA","Wernersville, PA",100
"Fayetteville, WV","Fayetteville, WV",100
"Knoxville, IL","Knoxville, IL",100
"Cadiz, KY","Cadiz, KY",100
"Wellford, SC","Wellford, SC",100
"West Newton, PA","West Newton, PA",100
"Marquette Heights, IL","Marquette Heights, IL",100
"Rockledge, PA","Rockledge, PA",100
"Deerfield, WI","Deerfield, WI",100
"Pantego, TX","Pantego, TX",100
"Shallowater, TX","Shallowater, TX",100
"Whitehall, NY","Whitehall, NY",100
"Kalona, IA","Kalona, IA",100
"Wrightsville Beach, NC","Wrightsville Beach, NC",100
"Clearwater, KS","Clearwater, KS",100
"Millersburg, PA","Millersburg, PA",100
"Colwyn, PA","Colwyn, PA",100
"Loxley, AL","Loxley, AL",100
"Garland, UT","Garland, UT",100
"Okolona, MS","Okolona, MS",100
"Myrtle Point, OR","Myrtle Point, OR",100
"Mohawk, NY","Mohawk, NY",100
"Luxemburg, WI","Luxemburg, WI",100
"Marysville, PA","Marysville, PA",100
"Westminster, SC","Westminster, SC",100
"Center Point, IA","Center Point, IA",100
"Burlington, KS","Burlington, KS",100
"Dillsburg, PA","Dillsburg, PA",100
"Williamsburg, OH","Williamsburg, OH",100
"Delmont, PA","Delmont, PA",100
"Madrid, IA","Madrid, IA",100
"East Williston, NY","East Williston, NY",100
"Salina, UT","Salina, UT",100
"Alden, NY","Alden, NY",100
"Rhinebeck, NY","Rhinebeck, NY",100
"Milton, WV","Milton, WV",100
"Lauderdale, MN","Lauderdale, MN",100
"Pennington, NJ","Pennington, NJ",100
"Derry, PA","Derry, PA",100
"Yardley, PA","Yardley, PA",100
"Covington, IN","Covington, IN",100
"Selbyville, DE","Selbyville, DE",100
"Rockville, IN","Rockville, IN",100
"Haw River, NC","Haw River, NC",100
"Lake Crystal, MN","Lake Crystal, MN",100
"Conrad, MT","Conrad, MT",100
"Silver Lake, OH","Silver Lake, OH",100
"Clio, MI","Clio, MI",100
"Pelican Rapids, MN","Pelican Rapids, MN",100
"Calvert, KY","Calvert, KY",100
"Poynette, WI","Poynette, WI",100
"South Hutchinson, KS","South Hutchinson, KS",100
"Casselton, ND","Casselton, ND",100
"Hoisington, KS","Hoisington, KS",100
"Sheridan, IL","Sheridan, IL",100
"Gibsonburg, OH","Gibsonburg, OH",100
"Pima, AZ","Pima, AZ",100
"Bennett, CO","Bennett, CO",100
